Epoch,Training Loss,Validation Loss,Test Loss,Training Accuracy,Validation Accuracy,Test Accuracy,Training Precision,Training Recall,Training F1-Score,Validation Precision,Validation Recall,Validation F1-Score,Test Precision,Test Recall,Test F1-Score,Epoch Duration,Training Top-5 Accuracy,Validation Top-5 Accuracy,Test Top-5 Accuracy
2,5.076844762166341,5.005046825408936,5.005046825408936,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.02,0.0012592592592592592,0.013333333333333334,0.02666666666666667,0.0005555555555555556,0.013333333333333334,0.02666666666666667,0.0005555555555555556,0.013333333333333334,140.5138750076294,0.0021946169772256727,0.001056422569027611,0.001056422569027611
3,4.9899419466654455,4.95304848353068,4.95304848353068,0.006666666666666667,0.013333333333333334,0.013333333333333334,0.04666666666666667,0.0011111111111111111,0.006666666666666667,0.04,0.0006386066763425254,0.013333333333333334,0.04,0.0006386066763425254,0.013333333333333334,139.35266709327698,0.0019047619047619048,0.001199294532627866,0.001199294532627866
4,4.853036079406738,4.8561895561218265,4.8561895561218265,0.04,0.02666666666666667,0.02666666666666667,0.12,0.018396825396825398,0.04,0.11333333333333333,0.014033816425120775,0.02666666666666667,0.11333333333333333,0.014033816425120775,0.02666666666666667,136.16526103019714,0.02143010752688172,0.014642662302236771,0.014642662302236771
5,4.688924255371094,4.664208780924479,4.664208780924479,0.17333333333333334,0.15333333333333332,0.15333333333333332,0.3466666666666667,0.09116096866096865,0.17333333333333334,0.3333333333333333,0.10490643274853802,0.15333333333333332,0.3333333333333333,0.10490643274853802,0.15333333333333332,141.64599299430847,0.10850069618490671,0.11543434343434342,0.11543434343434342
6,4.5181229909261065,4.4049045244852705,4.4049045244852705,0.34,0.5266666666666666,0.5266666666666666,0.62,0.24147089947089947,0.34,0.7,0.4252857142857143,0.5266666666666666,0.7,0.4252857142857143,0.5266666666666666,142.4631028175354,0.26345021645021643,0.45055555555555554,0.45055555555555554
7,4.342247619628906,4.143604768117269,4.143604768117269,0.6066666666666667,0.76,0.76,0.8,0.4826111111111111,0.6066666666666667,0.9133333333333333,0.6663333333333333,0.76,0.9133333333333333,0.6663333333333333,0.76,138.35177612304688,0.5168148148148147,0.6937777777777777,0.6937777777777777
8,4.176206970214844,3.9088641738891603,3.9088641738891603,0.7666666666666667,0.9266666666666666,0.9266666666666666,0.9066666666666666,0.6763333333333332,0.7666666666666667,0.9666666666666667,0.8944444444444446,0.9266666666666666,0.9666666666666667,0.8944444444444446,0.9266666666666666,136.0070641040802,0.7037777777777777,0.9044444444444446,0.9044444444444446
9,4.011831963857015,3.706145067214966,3.706145067214966,0.9,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.8544444444444443,0.9,0.9933333333333333,0.9522222222222221,0.9666666666666667,0.9933333333333333,0.9522222222222221,0.9666666666666667,135.1869740486145,0.8688888888888889,0.9566666666666667,0.9566666666666667
10,3.8535094515482586,3.5106746482849123,3.5106746482849123,0.9333333333333333,0.98,0.98,0.9933333333333333,0.9022222222222221,0.9333333333333333,1.0,0.97,0.98,1.0,0.97,0.98,135.3790168762207,0.9122222222222223,0.9733333333333334,0.9733333333333334
11,3.6916165669759113,3.3244061438242594,3.3244061438242594,0.9666666666666667,0.9933333333333333,0.9933333333333333,0.9933333333333333,0.95,0.9666666666666667,1.0,0.99,0.9933333333333333,1.0,0.99,0.9933333333333333,137.2503309249878,0.9555555555555554,0.9911111111111113,0.9911111111111113
